id,principal,secundario,referencia,colonia,delegacion,longitud,latitud,nombre
1,Río Balsas,Río Sena,,Cuauhtémoc,Cuauhtémoc,-99.16848,19.43293,Río Balsas-Río Sena
2,Río Guadalquivir,Río Balsas,,Cuauhtémoc,Cuauhtémoc,-99.17151,19.43159,Río Guadalquivir-Río Balsas
3,Paseo de la Reforma,Avenida Insurgentes,,Tabacalera,Cuauhtémoc,-99.15875,19.43166,Paseo de la Reforma-Avenida Insurgentes
4,Río Nilo,Río Panuco,,Cuauhtémoc,Cuauhtémoc,-99.17169,19.42849,Río Nilo-Río Panuco
5,Río Panuco,Río Tiber,,Cuauhtémoc,Cuauhtémoc,-99.16945,19.4298,Río Panuco-Río Tiber
6,Río Panuco,Río Sena,,Cuauhtémoc,Cuauhtémoc,-99.16699,19.43096,Río Panuco-Río Sena
7,Río Elba,Río Lerma,,Cuauhtémoc,Cuauhtémoc,-99.17515,19.42536,Río Elba-Río Lerma
8,Paseo de la Reforma,General Prim,,Tabacalera,Cuauhtémoc,-99.15815,19.43126,Paseo de la Reforma-General Prim
9,Río Guadalquivir,Río Lerma,,Cuauhtémoc,Cuauhtémoc,-99.17001,19.42818,Río Guadalquivir-Río Lerma
10,Paseo de la Reforma,Ramírez,,Tabacalera,Cuauhtémoc,-99.15514,19.43343,Paseo de la Reforma-Ramírez
11,Río Amazonas,Río Lerma,,Cuauhtémoc,Cuauhtémoc,-99.16355,19.43119,Río Amazonas-Río Lerma
12,Río Lerma,Villalongín,,Cuauhtémoc,Cuauhtémoc,-99.16169,19.43222,Río Lerma-Villalongín
13,Paseo de la Reforma,Río Rodano,,Cuauhtémoc,Cuauhtémoc,-99.17522,19.42362,Paseo de la Reforma-Río Rodano
14,Paseo de la Reforma,Río de la Plata,,Cuauhtémoc,Cuauhtémoc,-99.17325,19.42454,Paseo de la Reforma-Río de la Plata
15,Paseo de la Reforma,Río Misisipi,,Cuauhtémoc,Cuauhtémoc,-99.17141,19.4256,Paseo de la Reforma-Río Misisipi
16,Paseo de la Reforma,Río Guadalquivir,,Cuauhtémoc,Cuauhtémoc,-99.16923,19.42646,Paseo de la Reforma-Río Guadalquivir
17,Paseo de la Reforma,Río Tiber,,Cuauhtémoc,Cuauhtémoc,-99.1674,19.42755,Paseo de la Reforma-Río Tiber
18,Paseo de la Reforma,Río Sena,,Cuauhtémoc,Cuauhtémoc,-99.16525,19.42832,Paseo de la Reforma-Río Sena
19,Paseo de la Reforma,Río Neva,,Cuauhtémoc,Cuauhtémoc,-99.1616,19.43007,Paseo de la Reforma-Río Neva
